time	TWSA
2010-12-31	22.63586620621953
2011-01-31	
2011-02-28	6.852937031333283
2011-03-31	0.4863679930190763
2011-04-30	-7.823891044451819
2011-05-31	-7.639845298205636
2011-06-30	
2011-07-31	-0.5509781697298299
2011-08-31	5.878988548079408
2011-09-30	6.98755407099917
2011-10-31	9.117512868774442
2011-11-30	
2011-12-31	14.74325257556572
2012-01-31	15.314336550743407
2012-02-29	14.392011290445012
2012-03-31	3.800034870013475
2012-04-30	-8.41859002020218
2012-05-31	
2012-06-30	-14.693833239834579
2012-07-31	-17.379236445556064
2012-08-31	-11.240951180814315
2012-09-30	-5.677243163996381
2012-10-31	
2012-11-30	-0.3119506164785874
2012-12-31	6.593581128848358
2013-01-31	-4.337329685899576
2013-02-28	-15.340270387250708
2013-03-31	
2013-04-30	-14.804335862169127
2013-05-31	-23.53710228889956
2013-06-30	-23.901664598623483
2013-07-31	-17.668888138008082
2013-08-31	
2013-09-30	
2013-10-31	-9.449270201754292
2013-11-30	6.123709463477236
2013-12-31	5.626195788661652
2014-01-31	-4.788053708129676
2014-02-28	
2014-03-31	-7.486157356899296
2014-04-30	-17.189937054793
2014-05-31	-25.976515796297132
2014-06-30	-24.45991097538933
2014-07-31	
2014-08-31	-19.786658845322815
2014-09-30	-4.3360393463581035
2014-10-31	-0.9863578838098119
2014-11-30	4.692264928976727
2014-12-31	
2015-01-31	4.489085466763927
2015-02-28	-2.183528678510017
2015-03-31	-7.392653218475231
2015-04-30	-16.11922837112884
2015-05-31	
2015-06-30	
2015-07-31	-19.023333380842054
2015-08-31	-17.815374514986633
2015-09-30	-5.780324062389942
2015-10-31	
2015-11-30	
2015-12-31	-4.585582572945096
2016-01-31	-1.5530015480339001
2016-02-29	15.496341889302894
2016-03-31	6.555321006926871
2016-04-30	
2016-05-31	-2.08774030770992
2016-06-30	-9.269674398831304
2016-07-31	-17.4424024351448
2016-08-31	-10.14332703200952
2016-09-30	
2016-10-31	
2016-11-30	-7.117442994329331
2016-12-31	-8.70746247302186
2017-01-31	0.3215165234196788
2017-02-28	
2017-03-31	-18.32270093117929
2017-04-30	-21.887018951886997
2017-05-31	-23.28815425376961
2017-06-30	-23.033057903367986
2017-07-31	
2017-08-31	
2017-09-30	
2017-10-31	
2017-11-30	
2017-12-31	
2018-01-31	
